Row,Company,In PARAT?,HQ country,HQ city,HQ state/province,Website URL,Major presence in countries other than country of HQ,Subsidiarity,Sources
442,Grohmann,,Germany,Prüm,Rhineland-Palatinate,https://teslagrohmannautomation.de/en,,Grohmann is now known as Tesla Automation; it was purchased by Tesla in 2017.,"https://teslagrohmannautomation.de/en
https://en.wikipedia.org/wiki/Tesla_Grohmann_Automation
"
443,Advantest,,Japan,Tokyo,Tokyo,https://www.advantest.com/about/overview.html,Germany,,"https://www.advantest.com/about/overview.html
https://www.advantest.com/about/offices.html"
444,Teradyne,,USA,North Reading,Massachusetts,https://www.teradyne.com/,,,https://www.teradyne.com/company/contact-teradyne/
445,UniTest,,South Korea,Yongin,Gyeonggi ,https://www.uni-test.com/en/,,,https://www.uni-test.com/en/company/notice_internal.php
446,Micro Control,,USA,Minneapolis,Minnesota,https://www.microcontrol.com/,,,https://www.microcontrol.com/about-us/
447,DI,,South Korea,Seoul,Seoul,http://www.di.co.kr/eng/main/main.aspx,,,http://www.di.co.kr/eng/main/main.aspx
448,National Instruments,,USA,Austin,Texas,https://www.ni.com/en-us/about-ni/careers.html,"Asia (various),Romania,Hungary,Germany",,"https://www.ni.com/en-us/about-ni/careers.html
https://www.linkedin.com/company/niglobal/
https://pef.fa.us1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/requisitions?keyword=R%26D "
449,TESEC,,Japan,Tokyo,Tokyo,http://en.tesec.co.jp/,,,http://en.tesec.co.jp/company/
450,AccoTEST,,China,Beijing,Beijing,http://www.accotest.com/,,,http://www.accotest.com/about.html
451,JHT,,China,Tianjin,Tianjin,https://www.jht-design.com/wzsy,,,https://www.jht-design.com/gsjj
452,Synopsys,,USA,Mountain View,California,https://www.synopsys.com/,"Asia (various),Ireland",,https://www.synopsys.com/company/contact-synopsys/office-locations/india.html
453,Cadence,checked,USA,San Jose,California,https://www.cadence.com/en_US/home.html,"Europe (various),Asia (various),South Africa,Brazil,Canada,Middle East (various),Australia,Egypt",,https://www.cadence.com/en_US/home/company/contact-us.html
454,Mentor Graphics,,USA,WIlsonville,Oregon,https://eda.sw.siemens.com/en-US/,,"Mentor was acquired by Siemens (in 2017, per Wikipedia). It is now known as Siemens EDA.","https://eda.sw.siemens.com/en-US/
https://www.linkedin.com/company/siemens-eda/about/
https://www.linkedin.com/company/mentor_graphics/
"
455,Ansys,checked,USA,Canonsburg,Pennsylvania,https://www.ansys.com/,"Europe (various),Canada,China,Japan,Taiwan,India",,"https://www.ansys.com/contact-us#tab1-2
https://careers.ansys.com/search/?q=r%26d&searchby=location&d=10&startrow=125 
https://careers.ansys.com/search/?q=r%26d&searchby=location&d=10 
https://www.ansys.com/content/dam/company/quality-assurance/2021-2024-ansys-inc-iso-9001-2015-dqs.pdf "
456,Silvaco,,USA,Santa Clara,California,https://silvaco.com/,"United Kingdom,France,Denmark,Russia,Taiwan",,https://silvaco.com/corporate/about-us/
457,PDF Solutions,,USA,Santa Clara,California,https://www.pdf.com/,,,https://www.pdf.com/company/locations/
458,Huada Empyrean,,China,Beijing,Beijing,https://empyrean.com.cn/,,,https://empyrean.com.cn/company/about-us.html
459,Primarius,,China,Shanghai,Shanghai,https://www.primarius-tech.com/en,USA,,"https://www.primarius-tech.com/en/about/locations
https://www.crunchbase.com/discover/organization.companies/409bf7b343c135da6a8beeb09aaa1ecb"
460,Xpeedic,,China,Shanghai,Shanghai,https://www.xpeedic.com/index.php?m=content&c=index&a=lists&catid=2,,,"https://www.crunchbase.com/discover/organization.companies/409bf7b343c135da6a8beeb09aaa1ecb
https://www.xpeedic.com/index.php?m=content&c=index&a=lists&catid=20
HQ:
https://www.xpeedic.com/index.php?m=content&c=index&a=lists&catid=74 
上海总部地址
上海市纳贤路60号5号楼401
邮编：201203
电话：021-53391331

Major Presence:
公司运营及研发总部位于上海张江，在苏州和武汉设有研发分中心，在北京、深圳、成都、西安、美国硅谷设有销售和技术支持部门。
The company's operations and R&D HQ is located in Zhangjiang, Shanghai. Sub-r&d centers in Suzhou and Wuhan. Sales and technical assistance departments in Beijing, Shenzhen, Chengdu, Xi'AN and Silicon Valley in the US."
461,Semitronix,,China,Hangzhou,Zhejiang,http://www.semitronix.com/,,,http://www.semitronix.com/contact/
462,Platform-da,,China,Beijing,Beijing,www.platform-da.com,,"Platform DA appears to now be integrated into the operations of Primarius, another firm in this database. The Platform DA website now automatically redirects to the Primarius website. According to 企查查 AKA ""QCC"" (https://www.qcc.com/firm/0d6540f427ee0232981d5f2af92cf373.html), Primarius became the largest investor in Platform DA as of January 2021.",https://www.qcc.com/firm/0d6540f427ee0232981d5f2af92cf373.html
463,Ceva,,USA,Rockville,Maryland,https://www.ceva-dsp.com/,"Europe (various),Asia (various)",,"https://www.ceva-dsp.com/career/
https://www.ceva-dsp.com/career/
"
464,Verisilicon,,China,Shanghai,Shanghai,https://www.verisilicon.com/en/Home,USA,,https://www.verisilicon.com/en/AboutVeriSilicon
465,Rambus,,USA,San Jose,California,https://www.rambus.com/,"Canada,Taiwan,South Korea,India,China,France,Netherlands",,"https://www.rambus.com/locations/
https://careers-rambus.icims.com/jobs/search?ss=1&searchLocation=13080--de+la+lauziere"
466,Microscapes,,China,Tianjin,Tianjin,http://www.microscapes.com.cn/home.html,,,http://www.microscapes.com.cn/home.html
467,Arcas-da,,China,Shanghai,Shanghai,https://www.arcas-da.com,,,https://www.arcas-da.com/html/companyProfile/company_profile.html#introduction
468,SST,,United States,San Jose,California,https://www.sst.com,,Microchip Technology Inc.,"https://www.sst.com/contact-us
https://www.sst.com/about/corporate-overview
"
470,Imagination Technologies,,United Kingdom,Kings Langley,Hertfordshire,https://www.imaginationtech.com,"Europe (various),Australia,India",Canyon Bridge,"https://www.imaginationtech.com/contact-us/
https://www.crunchbase.com/organization/imagination-technologies
"
471,eMemory Technology,,Taiwan,Jhubei,Hsinchu,https://www.ememory.com.tw/,,,https://www.ememory.com.tw/en-US/Contact/Information
472,ARM,checked,United Kingdom,Cambridge,Cambridgeshire,https://www.arm.com,China,SoftBank Group,"https://en.wikipedia.org/wiki/Arm_(company)y
https://www.arm.com/company/offices
https://www.armchina.com/brief?dataId=61&istitle=%E5%85%AC%E5%8F%B8%E4%BB%8B%E7%BB%8D#reloaded
"
473,JSR,,Japan,Tokyo,Tokyo,https://www.jsr.co.jp/jsr_e/,,,https://www.jsr.co.jp/jsr_e/company/office.html
474,Tokyo Ohka Kogyo,,Japan,Kawasaki, Kanagawa,https://www.tok.co.jp/eng,"China,United States,Taiwan",Kodak Alaris acquired the printing (relief plates) business of Tokyo Ohka Kogyo,"https://www.tok.co.jp/eng/company/network/overseas.html
https://www.crunchbase.com/organization/tokyo-ohka-kogyo
"
475,Shin-Etsu,,Japan,Chiyoda-ku,Tokyo,https://www.shinetsu.co.jp/en/,"Europe (various),Asia (various),United States",,https://www.shinetsu.co.jp/en/company/worldwide/
476,Fujifilm Electronic Materials ,,United States,North Kingstown,Rhode Island,https://www.fujifilm.com/us/en/about/region/affiliates/electronic-materials,"Belgium,Japan,China,Taiwan",Fujifilm Holding America Corporation,"https://www.fujifilm.com/us/en/about/region/affiliates/electronic-materials
https://www.fujifilm.com/us/en/business/semiconductor-materials/electronic-materials 
"
478,EMD Electronics,,United States,Tempe,Arizona,https://www.emdgroup.com/en/expertise/our-businesses/electronics.html,"Canada,Germany,South Korea,Japan,China,Taiwan,Israel,United Kingdom","EMD is the name used for the electronics business operations of Merck KGaA  in the U.S. and Canada because Merck & Co., an unrelated company, owns trademark rights to the Merck name in this region.","https://www.emdgroup.com/en/news/orthus-11-01-2021.html 
https://www.emdgroup.com/en/locations.html?p=1&associatedBusiness=business:electronics
https://www.linkedin.com/company/emd-electronics 
https://www.emdgroup.com/en/locations.html
https://www.emdgroup.com/en/research/global-r-and-d-hubs.html?p=1&associatedBusiness=business:electronics 
https://www.emdgroup.com/en/expertise/our-businesses/electronics.html "
479,Inpria,,United States,Corvallis,Oregon,https://www.inpria.com/,Belgium,JSR Corporation,https://www.inpria.com/page/2/#contact
480,Kempur,,China,Beijing,Beijing,http://www.kempur.com.cn/en/index.aspx,USA,,http://www.kempur.com.cn/en/index.aspx
482,Nata Opto-electronic Material,,China,Suzhou,Jiangsu,http://www.natachem.com/,,,http://www.natachem.com/en/index.php?route=information/information&information_id=5
483,JHM,,China,Dalian,Liaoning,http://en.jhm.com.cn/,,,http://en.jhm.com.cn/intro/1.html
484,Sumitomo,,Japan,Tokyo,Tokyo,https://www.sumitomocorp.com/en/jp,"Asia (various),United States",,https://www.sumitomocorp.com/en/jp/about/point/japan
485,Dongjin,,South Korea,Seoul,Seoul,https://www.dongjin.com/en/main/,,,https://www.dongjin.com/en/company/be_overseas.php
487,Fujimi,,Japan,Kiyosu-shi,Aichi,https://www.fujimiinc.co.jp/english/index.html,"United States,Malaysia,Taiwan",,https://www.fujimiinc.co.jp/english/company/network.html 
488,Saint-Gobain,,France,Paris,Île-de-France,https://www.saint-gobain.com/en,"United States,Brazil,Germany,India,China",,https://www.saint-gobain.com/en/group/saint-gobain-worldwide
489,Ruihong,,China,Suzhou,Jiangsu,http://www.szruihong.com,,"Subsidiary of Suzhou Jingrui Chemical Co., Ltd.","http://www.szruihong.com/gsjs.html
http://www.szruihong.com/en/gsjs.html
"
490,Versum Materials,,United States,Tempe,Arizona,https://www.emdgroup.com/en,,Merck KGaA,"https://www.emdgroup.com/en/news/versum-closing-07-10-2019.html 
https://www.emdgroup.com/en/locations.html?p=3
"
491,GlobalWafers,,Taiwan,Hsinchu,Hsinchu,https://www.sas-globalwafers.com/en/home-2/,"Denmark,USA,China,Japan,Italy,Malaysia,South Korea","Subsidiary of Sino-American Silicon Products Inc. (SAS)
","https://www.sas-globalwafers.com/en/traffic-information_en/
https://www.saswafer.com/en/profile-en/
https://www.gw-semi.com/overview-locations/"
492,DuPont,,United States,Wilmington,Delaware,https://www.dupont.com/ ,"Europe (various),Asia (various),Canada,Argentina,Brazil,Africa (various)",,"https://www.dupont.com/locations.html
https://www.dupont.com/locations/innovation-centers.html
https://www.dupont.com/content/dam/dupont/amer/us/en/liveo/public/documents/en/DuPont%20-%20Global%20ISO140012015.pdf "
494,Thomas West,,USA,Sunnyvale,California,https://www.twimaterials.com/,,,https://www.twimaterials.com/about-twi/
495,SUMCO,,Japan,Tokyo,Tokyo,https://www.sumcosi.com/english/,,,https://www.sumcosi.com/english/corporate/offices/
496,Siltronic,,Germany,Munich,Bavaria,https://www.siltronic.com/en/,"USA,Singapore",,https://www.siltronic.com/en/our-company/sites.html
497,SK Siltron,,USA,San Jose,California,https://eng.sk.com/companies/sk-siltron,,"SK Siltron is a subsidiary of SK Inc., a conglomerate
",https://eng.sk.com/companies/sk-siltron
498,Okmetic,,Finland,Vantaa,Uusimaa,https://www.okmetic.com/,,National Silicon Industry Group (China),"https://www.okmetic.com/about-okmetic/company/
https://www.globenewswire.com/news-release/2016/09/15/872002/0/en/Okmetic-Oyj-applies-for-delisting-of-its-shares-from-the-official-list-of-Nasdaq-Helsinki.html
"
499,JRH,,China,Ningbo,Zhejiang,http://www.zjjrh.com/,,,http://www.zjjrh.com/gsgk.htm
500,Gritek,,China,Beijing,Beijing,http://www.gritek.com/yybdten/7093.html,,"The controlling shareholder of Gritek is RS Technologies Co., Ltd. The Chinese government is also an ""important shareholder"" through the GRINM Group Corporation Limited state-owned enterprise
",http://www.gritek.com/yybdten/7097.html
502,MCL,,China,Luoyang,Henan,http://www.mclwafer.com/en/,,,http://www.mclwafer.com/en/home-abouts.html#about1
503,Simgui,,China,Shanghai,Shanghai,http://www.simgui.com.cn/en/,,,http://www.simgui.com.cn/en/contactUs_175.htm
504,Dai Nippon,,Japan,Tokyo,Tokyo,https://www.dnp.co.jp/eng/,"Asia (various),United States,Europe (various)",,https://www.dnp.co.jp/eng/corporate/information/location/overseas/index.html
505,Photronics,,USA,Brookfield,Connecticut,https://www.photronics.com/,"UK,Germany,China,Taiwan,South Korea,Singapore",,https://www.photronics.com/about-photronics/#locations
506,Toppan Photomasks,,United States,Round Rock,Texas,https://www.photomask.com/,"Germany,France,South Korea,China",Toppan Group,"https://www.photomask.com/locations/headquarters
https://www.photomask.com/locations/dresden 
https://www.toppan.com/en/about-us/group.html "
507,Hoya Corporation,,Japan,Tokyo,Tokyo,https://www.hoya.com/en/,"Taiwan,China,South Korea",,"https://www.hoya.com/en/company/network/japan/ 
https://www.hoya.com/en/company/network/asia_oceania/ "
508,Merck KGaA,checked,Germany,Darmstadt,Hessen,https://www.emdgroup.com/en,"United States,Canada,Asia (various),Europe (various)",,"https://www.emdgroup.com/en/company/ourheadquarters.html
https://www.emdgroup.com/en/worldwide.html 

"
509,Taiwan Mask Corporation,,Taiwan,Hsinchu,Hsinchu,https://www.tmcnet.com.tw/IndexEng.aspx,,,https://www.tmcnet.com.tw/OverView_E.aspx
510,CMC,,United States,Aurora,Illinois,https://www.cmcmaterials.com/,"France,Italy,United Kingdom,Asia (various),Canada","Entegris, Inc.","https://www.cmcmaterials.com/company/global-locations/default.aspx 
https://www.sec.gov/Archives/edgar/data/1101302/000114036121042086/ny20001665x15_8k.htm 
https://www.crunchbase.com/organization/cabot-microelectronics-corporation 
"
511,Anji,,China,Shanghai,Shanghai,http://page.anjimicro.com/,Taiwan,,http://page.anjimicro.com/col.jsp?id=101
512,Honeywell,checked,USA,Charlotte,North Carolina,https://industrial.honeywell.com/us/en/products/electronic-materials?utm_source=cj&utm_medium=affiliate&utm_campaign=Microsoft+Shopping+%28Bing+Rebates%2C+Coupons%2C+etc.%29&clickId=14494849&cjevent=6b35cc5ae68011ec80a9d69e0a82b838&cjdata=MXxOfDB8WXww,"Europe (various),Asia (various)",,"https://www.honeywell.com/us/en/company/about-us
https://industrial.honeywell.com/us/en/products/electronic-materials?utm_source=cj&utm_medium=affiliate&utm_campaign=Microsoft+Shopping+%28Bing+Rebates%2C+Coupons%2C+etc.%29&clickId=14494849&cjevent=6b35cc5ae68011ec80a9d69e0a82b838&cjdata=MXxOfDB8WXww
"
513,JX Nippon,,Japan,Tokyo,Tokyo,https://www.nmm.jx-group.co.jp/english/,"Taiwan,South Korea",ENEOS Holdings,"https://www.nex.jx-group.co.jp/english/aboutus/ 
https://www.hd.eneos.co.jp/english/company/history/ 
"
514,Linde,checked,United Kingdom,Woking,Surrey,https://www.linde.com/,"Asia (various),United States,Norway,Sweden,Germany",,"https://www.linde.com/imprint
https://www.linde.com/global-locations# 
https://www.leamericas.com/en/images/LEI_1_1_e_12_150dpi_tcm136-97150.pdf 
https://www.linde-gas.com/en/images/ERDC%20Brochure_tcm17-477992.pdf 
https://manufacturingdigital.com/technology/linde-group-announces-groundbreaking-new-3d-printing-analysis-unit 
https://www.leamericas.com/en/about_linde_engineering/linde_engineering_locations/linde_engineering_schalchen_plant/index.html 
https://www.gasworld.com/linde-signs-deal-to-supply-new-semiconductor-plant-in-arizona/2021668.article 
https://www.linde-gas.com/en/processes/additive_manufacturing/r-and-d-additive-manufacturing/index.html "
515,Tosoh SMD,,USA,Grove City,Ohio,https://tosohsmd.com/,"China,South Korea","Tosoh SMD is a subsidiary of Tosoh Corporation, a Japanese conglomerate",https://tosohsmd.com/about-us/history
516,KFMI,,China,Ningbo,Zhejiang,http://www.kfmic.com/,,,"http://en.kfmic.com/ 
http://en.kfmic.com/contact/contact.aspx
https://www.globenewswire.com/news-release/2016/11/07/887158/8893/en/Cabot-Microelectronics-Corporation-and-Konfoong-Materials-International-Co-Ltd-Announce-CMP-Polishing-Pads-Collaboration-in-China.html "
517,Grikin,,China,Beijing,Beijing,http://en.grikin.com/,,"Grikin is a subsidiary of GRINM Advanced Materials Co., Ltd.",http://en.grikin.com/class/view?id=35
518,Entegris,,USA,Billerica,Massachusetts,https://www.entegris.com/,"Canada,Asia (various)",,"https://www.entegris.com/en/home/about-us/locations.html
https://www.entegris.com/en/home/about-us/corporate-social-responsibility/iso-certifications.html "
519,Air Products,checked,United States,Allentown,Pennsylvania,https://www.airproducts.com/,Asia (various),,https://www.airproducts.com/company/worldwide-locations?#united-states 
520,BASF,,Germany,Ludwigshafen,Rhineland-Palatinate,https://www.basf.com/global/,"Europe (various),Asia (various),United States,Canada",,"https://www.basf.com/global/en/who-we-are/organization/locations.html
https://www.basf.com/cn/zh/media/GC-report/GC-report-2021/the-basf-group.html 
"
521,Air Liquide,,France,Paris,Île-de-France,https://www.airliquide.com/,"Europe (various),Asia (various),United States",,https://www.airliquide.com/group/france
522,Praxair,,USA,Indianapolis,Indiana,https://www.praxairsurfacetechnologies.com/en,"Canada,Asia (various),Europe (various)","Praxair was initially a subsidiary of Linde; then, Linde AG and Praxair merged in 2018 to form Linde plc and are still integrating their operations.","https://www.praxairsurfacetechnologies
https://www.lindeus.com/the-new-linde
https://www.praxairsurfacetechnologies.com/en/partnering-with-us/quality-certifications-by-location 
https://www.compositesworld.com/news/praxair-begins-operations-under-linde-brand-name 
https://www.gasworld.com/praxair-distribution-inc-changes-name-to-linde-gas-and-equipment-inc/2022011.article "
523,TNSC,,Japan,Tokyo,Tokyo,https://www.tn-sanso.co.jp/en/,"Europe (various),Asia (various)","On 13 May 2014, TNSC at that time and Mitsubishi Chemical Holdings announced that an agreement had been reached whereby Taiyo Nippon Sanso would become an affiliate of Mitsubishi Chemical, which is a part of the core Mitsubishi group.","https://www.nipponsanso-hd.co.jp/en/company/affiliate_g.html
https://en.wikipedia.org/wiki/Nippon_Sanso_Holdings_Corporation"
524,Wonik,,South Korea,Seongnam,Gyeonggi ,https://wonik.com/en/index,"Germany,China,Taiwan,USA",,"https://wonik.com/en/business/overseas?tab=oversea0
https://wonik.com/en/business/service (WONIK MATERIALS, WONIK IPS, WONIK QnC, and WONIK Holdings are listed as the divisions of WONIK involved in the semiconductor industry)"
525,SK Materials,,South Korea,Yeongju,Gyeongsangbuk-do,https://www.sk-materials.com/new/eng/html/main/,China,"SK Materials is a subsidiary of SK Group (see also SK Hynix and SK Siltron)
","https://eng.sk.com/companies/sk-inc-materials
https://www.sk-materials.com/new/eng/html/company/network.asp
"
526,Huate Gas,,China,Foshan,Guangdong,http://www.huategas.com/index.aspx,,,http://www.huategas.com/BusinessProfile/index.aspx
527,PERIC,,China,Handan,Hebei,http://www.pericsg.com/company1.html,,,https://en.pericsg.com/
528,KMG Chemicals,,USA,Fort Worth,Texas,https://kmgchemicals.com/,"Mexico,Canada,UK,France,Italy,Singapore",,https://kmgchemicals.com/
529,Avantor,,USA,Radnor,Pennsylvania,https://www.avantorsciences.com/site/,"North America (various),Europe (various),Asia (various),Middle East (various),Africa (various)",,"https://www.avantorsciences.com/pages/en/global-footprint
https://www.avantorsciences.com/pages/en/contact"
530,Kanto Chemical,,Japan,Tokyo,Tokyo,https://www.kanto.co.jp/english/,"USA,Singapore,Malaysia,Taiwan,China",,"https://www.kanto.co.jp/english/corp/outline.html
https://kantomalaysia.wordpress.com/ 
https://kanto.com.sg/index.php/2013-08-28-11-28-59/singapore-plant 
https://kantocorp.com/about-us 
http://www.kanto-ppc.com/en/about.aspx?case=Events "
531,Runma,,China,Jiangyin,Jiangsu,http://www.runma.com/about.asp?sid=16,,,http://www.runma.com/about.asp?sid=16
532,Sinophorus,,China,Yichang,Hubei,https://www.sinophorus.com/index.html,,Sinophorus is a subsidiary of the Xingfa Group,https://www.sinophorus.com/introduce.html
533,Sinyang,,China,Shanghai,Shanghai,http://www.sinyang.com.cn/,,,"http://www.sinyang.com.cn/intro/7.html
http://www.sinyang.com.cn/intro/1.html"
534,POSHING,,China,Shijiazhuang,Hebei,http://www.poshing.cn,,Some but not all stock of Poshing is owned by China Electronics Technology Group Corporation (CETC),http://www.poshing.cn/index.php?m=content&c=index&a=lists&catid=34
535,ZingSEMI,,China,Shanghai,Shanghai,https://www.zingsemi.com,,Subsidiary of National Silicon Industry Group (688126 SHA),"https://www.zingsemi.com/about/about_xs/
上海新昇半导体科技有限公司成立于2014年6月，由上海硅产业集团股份有限公司（沪硅产业，股票代码：688126）全资控股子公司"
536,Yongzhi,,China,Taixing,Jiangsu,http://www.txyzdz.cn/?_l=en,,,http://www.txyzdz.cn/page86?_l=en
537,Heraeus,,Germany,Hanau,Hessen,https://www.heraeus.com/en/group/home/home.html,"South Africa,Europe (various),Asia (various),Brazil,United States,Mexico","Heraeus is a holding company that contains 12 separate business groups; several of those business groups appear to provide products of use to the semiconductor industry
","https://www.heraeus.com/en/group/about_heraeus/heraeus_worldwide/heraeus_worldwide.html
https://www.heraeus.com/en/group/about_heraeus/about_heraeus_at_a_glance/about_heraeus.html"
538,Tanaka Denshi,,Japan,Kanzaki,Saga,https://www.tanaka.co.jp/english/about/group/td.html,"Singapore,Malaysia,China,Taiwan","TANAKA Denshi is a subsidiary of TANAKA Holdings Co., Ltd.","https://www.tanaka.co.jp/english/about/group/td.html
https://tanaka-preciousmetals.com/en/corporate/outline/
"
539,Nippon Micro,,Japan,Iruma,Saitama,https://www.nmc-net.co.jp/en_index.html,"Philippines ,China","Nippon Micrometal is co-owned by Nippon Steel Chemical & Material Co., LTD. (70%) and Matsuda Sangyo Co., LTD (30%)
","https://www.nmc-net.co.jp/en_page2.html?eid=00001
https://www.nmc-net.co.jp/en_page2.html?eid=00002#subtitle3"
540,Doublink,,China,Beijing,Beijing,http://en.doublink.com/about.html,,,http://en.doublink.com/contact.html
541,Kangqiang,,China,Ningbo,Zhejiang,https://en.kangqiang.com/,,"Ningbo Kangqiang Electronics has three subsidiaries, including Jiangyin Kangqiang Electronics and Ningbo Kangqiang Micro-Electronics Technology.","https://en.kangqiang.com/intro/1.html
https://en.kangqiang.com/intro/10.html"
542,YesDo,,China,Yantai,Shandong,http://www.yesdochina.cn/,,,http://www.yesdochina.cn/aboutus.html
543,QP Technologies,,USA,Escondido,California,https://www.qptechnologies.com/,,QP Technologies is a division of Promex Industries,https://www.qptechnologies.com/about-us/company-info-bios/
544,NGK,,Japan,Nagoya,Aichi,https://www.ngk-insulators.com/en/,"North America (various),Europe (various),South Africa,Asia (various)",NGK Insulators is a parent company with 45 consolidated subsidiaries and 2 equity-method affiliates,"https://www.ngk-insulators.com/en/info/outline/
https://www.ngk-insulators.com/en/resource/pdf/info/company_en.pdf
https://www.ngk-insulators.com/en/info/network/
"
545,Alent,,USA,Waterbury,Connecticut,https://www.macdermidalpha.com/,"Canada,Mexico,Asia (various),Europe (various)","Alent was acquired by Platform Specialty Products, now Element Solutions, in 2015. Alent is now part of the MacDermid Performance Solutions division of Element Solutions, which combines MacDermid Enthone Electronic Solutions, Alpha Assembly Solutions, MacDermid Enthone Industrial Solutions, and the MacDermid Graphics Solutions businesses. The information listed here is that of the Enthone and Alpha divisions, both of which are HQd in Waterbury, CT.","https://industrial.macdermidenthone.com/contact/world-wide-locations
https://www.macdermidalpha.com/contact-us#general
https://elementsolutionsinc.com/about/our-history
https://en.wikipedia.org/wiki/Alent
https://industrial.macdermidenthone.com/contact/news-events/macdermid-performance-solutions-businesses-collaborate-showcase-printed-electronics-solutions-1 
https://www.macdermid.com/about-us/platform-specialty-products-announces-alent-acquisition 
https://elementsolutionsinc.com/about/commitment-quality/certificates "
546,Hubei Dinglong,,China,Wuhan,Hubei,https://www.dl-kg.com,,,https://www.dl-kg.com/intro/46.html
547,Kyocera,,Japan,Kyoto,Kyoto,https://global.kyocera.com/,,,"https://global.kyocera.com/company/summary/company_profile.html
https://global.kyocera.com/company/location_gl/region/area/europe.html"
548,Zhongwei,,China,Shenzhen,Guangdong,https://www.mcu.com.cn,Singapore,,"https://www.mcu.com.cn/about-company.html
https://www.mcu.com.cn/about-news/118.html
"
549,Yixing,,China,Yixing,Jiangsu,http://www.jxinsemi.com,,,http://www.jxinsemi.com
550,NanYa,,Taiwan,New Taipei City,New Taipei City,https://www.nanya.com/en/,,,https://www.nanya.com/cn/About/31/销售服务据点
551,LG,,South Korea,Seoul,Seoul,https://www.lgchem.com/main/index,"United States,Vietnam,India,Malaysia,Poland,China","The information in this entry is for LG Chem, a subsidiary of LG Group.
","https://www.lgchem.com/company/company-information/about
https://www.lgchem.com/company/company-information/global-network/overseas-corporation/asia#none
https://www.lgchem.com/company/company-information/global-network/overseas-corporation/europe#none
https://www.lgchem.com/company/company-information/global-network/overseas-corporation/china
"
552,Shennan Circuits,,China,Shenzhen,Guangdong,http://www.scc.com.cn/index.html,Germany,,"http://www.scc.com.cn/Content/gysn/lxwm/index.html
https://www.globaldata.com/company-profile/shennan-circuits-co-ltd/locations/
https://www.glaretec.com/en/partner.html
""Its business is all over the world, and there are subsidiaries in North America and R&D sites in Europe."""
553,Zhuhai Yueya,,China,Zhuhai,Guangdong,http://www.access-substrates.com/m/,,Founded jointly by Founder IT (China) and AMITEC Advanced Multilayer Interconnect Technologies Ltd (Israel),"http://www.access-substrates.com/m/about.asp
“ACCESS was established in 2006 as a Sino-Israeli joint venture.”
“ 珠海越亚半导体股份有限公司（“珠海越亚”）由北大方正信息产业集团有限公司和以色列公司AMITEC Advanced Multilayer Interconnect Technologies Ltd.于2006年4月26日在珠海市合资创办”
Branches/affiliate companies (""分公司“）are in Hong Kong and the USA, but it is unclear what role those play
"
554,Showa Denko,,Japan,Tokyo,Tokyo,https://www.sdk.co.jp/english.html,"United States,Austria,Spain,China,Japan,Malaysia",,"https://www.sdk.co.jp/english/about/network/domestic.html
https://www.sdk.co.jp/english/about/network/oversea.html 
https://www.showadenkocarbon.com/about-us/production-sites/ "
555,Mitsui High-Tec,,Japan,Kitakyushu,Fukuoka,https://www.mitsui-high-tec.com/en/,"Canada,Asia (various),Poland",,"https://www.mitsui-high-tec.com/en/corporate/location/america.php
https://www.mitsui-high-tec.com/en/corporate/location/europe.php
https://www.mitsui-high-tec.com/en/corporate/location/asia.php"
556,Ningbo Hualong,,China,Ningbo,Zhejiang,http://www.nbhldz.com/index.shtml,,,http://www.nbhldz.com/doc/zjhl/gsjj/index.shtml
557,Sinopaco,,China,Lianyungang,Jiangsu,,,,"https://www.bloomberg.com/profile/company/0167037D:CH#xj4y7vzkg
https://aiqicha.baidu.com/wenshu?wenshuId=47af98caf5fe35e962e1206a6140532375dfadae
"
558,,,China,Nanjing,Jiangsu,,,,"https://www.dnb.com/business-directory/company-profiles.nanjing_jiafeng_electronic_technology_co_ltd.15590a0505c7df6e36c0ddccc1643b29.html
https://aiqicha.baidu.com/company_detail_56546228042327?tab=basic&isSeo=true
"
559,Henkel,,Germany,Düsseldorf,North Rhine-Westphalia,https://www.henkel-adhesives.com/us/en.html,"North America (various),Europe (various),Asia (various),South America (various),Middle East (various)",,https://www.henkel.com/company/locations?pageID=
560,Ibiden,,Japan,Ogaki,Gifu,https://www.ibiden.com/,"Hungary,France,Italy,USA,Mexico,Philippines ,China,Malaysia,South Korea",,"https://www.ibiden.com/company/profile/info/
https://www.ibiden.com/company/profile/globalization/
"
561,Shinko,,Japan,Nagano,Nagano,https://www.shinko.co.jp/english/,"Malaysia,South Korea,China",,https://www.shinko.co.jp/english/corporate/branch/over_sea/
